Sum of Total Volume,Column Labels,,
Row Labels,conventional,organic,Grand Total
2015,4296599236,88869426.35,4385468662
Jan,311356008.4,6729201.19,318085209.6
Feb,355382893.9,7254705.31,362637599.2
Mar,409120859.5,9462210.31,418583069.8
Apr,336112904.4,8031490.76,344144395.2
May,473256853.6,10527191.21,483784044.8
Jun,374967320,6859423.69,381826743.7
Jul,350081014.4,6620858.23,356701872.6
Aug,410822982.9,8421831.91,419244814.8
Sep,323491954,5726879.05,329218833.1
Oct,300071660.6,5704450.45,305776111
Nov,361839629.4,7600406.98,369440036.4
Dec,290095154.6,5930777.26,296025931.9
2016,4690249813,130640078.8,4820889892
Jan,465352448,10053317.58,475405765.6
Feb,420088321.5,8557480.51,428645802
Mar,380533766.7,10678641.54,391212408.3
Apr,389467197.5,12365554.3,401832751.8
May,545825281.4,15405249.14,561230530.6
Jun,399450648.6,10877505.51,410328154.1
Jul,453881625.3,13393718.93,467275344.2
Aug,359967052.3,10829914.64,370796967
Sep,352050391.6,10252883.93,362303275.5
Oct,350056204.3,10145600.02,360201804.3
Nov,251235797.5,8973539.21,260209336.7
Dec,322341078.4,9106673.47,331447751.9
2017,4766165793,168139905.8,4934305699
Jan,520693766.8,12639266.64,533333033.4
Feb,457536551.4,13930648.42,471467199.8
Mar,343234264.5,15669117.29,358903381.8
Apr,471567890.9,18246638.61,489814529.5
May,411622546.9,14107994.68,425730541.6
Jun,396636485.8,13774165.16,410410651
Jul,459587607,15316103.32,474903710.4
Aug,327224335.1,11108655.12,338332990.2
Sep,273122539,11656997.3,284779536.3
Oct,347623859.4,15154097.33,362777956.7
Nov,313784455.9,10734852.65,324519308.5
Dec,443531490.7,15801369.31,459332860
2018,1334206069,48532271.13,1382738340
Jan,414794337.6,14912746,429707083.6
Feb,481650325.3,16127871.09,497778196.4
Mar,437761406.2,17491654.04,455253060.2
Grand Total,15087220911,436181682.1,15523402593
